Post_ID,Type,Publish_Date,Publish_Time,Content,Image_URL,Posted,Posted_At,Status,Title
20260226_morning,premade,2026-02-26,09:00,"We don't use one AI for everything. When you ask ""Create a BOM"" it hits: 1. Orchestrator (classifies intent) 2. BOM Generator (creates component list) 3. Tool Executor (saves to database). Three agents. One seamless experience.",,FALSEE,,ready,Technical Deep-Dive
20260226_afternoon,premade,2026-02-26,14:00,"Debugging at midnight hits different. Found a bug where code files were overwriting each other. Race condition. The fix? Retry logic with exponential backoff. Sometimes the best code is written when you're too tired to overthink.",,FALSEE,,ready,Behind-the-Scenes
20260226_evening,premade,2026-02-26,18:00,"We don't use one AI for everything. When you ask ""Create a BOM"" it hits: 1. Orchestrator (classifies intent) 2. BOM Generator (creates component list) 3. Tool Executor (saves to database). Three agents. One seamless experience.",,FALSEE,,ready,Technical Deep-Dive
20260227_morning,premade,2026-02-27,09:00,"We summarize conversations every 5 messages. Why? Token costs were killing us. Now instead of sending 50 messages (5,000 tokens) we send: Summary (500 tokens) Last 10 messages (1,000 tokens). 67% cost reduction. Same quality.",,FALSEE,,ready,Feature Deep-Dive
20260227_afternoon,premade,2026-02-27,14:00,"User: ""Why can't I see the code without opening the drawer?"" Me: *builds inline code cards in 30 minutes* User: ""Perfect!"" The best features come from listening.",,FALSEE,,ready,Lesson Learned
20260227_evening,premade,2026-02-27,18:00,"We summarize conversations every 5 messages. Why? Token costs were killing us. Now instead of sending 50 messages (5,000 tokens) we send: Summary (500 tokens) Last 10 messages (1,000 tokens). 67% cost reduction. Same quality.",,FALSEE,,ready,Feature Deep-Dive
20260228_morning,premade,2026-02-28,09:00,"Every artifact has versions. BOM v1 → BOM v2 → BOM v3. Users can see their project evolve. Rollback if needed. It's just a version_number column. But it's powerful.",,FALSEE,,ready,Technical Implementation
20260228_afternoon,premade,2026-02-28,14:00,"Got our first enterprise inquiry today. A university wants to use OHM for their IoT course. 200 students. Real projects. Real hardware. This is bigger than I thought.",,FALSEE,,ready,Founder Journey
20260228_evening,premade,2026-02-28,18:00,"Every artifact has versions. BOM v1 → BOM v2 → BOM v3. Users can see their project evolve. Rollback if needed. It's just a version_number column. But it's powerful.",,FALSEE,,ready,Technical Implementation
20260301_morning,premade,2026-03-01,09:00,"Our API responds in: Orchestrator: 150ms BOM Generator: 8 seconds Code Generator: 12 seconds Wiring: 5 seconds. Fast enough. Room to improve.",,FALSEE,,ready,Data & Results
20260301_afternoon,premade,2026-03-01,14:00,"Every PR gets reviewed by 2 people. Not because we don't trust each other. Because two brains > one brain. Caught 3 bugs this week before they hit production.",,FALSEE,,ready,Behind-the-Scenes
20260301_evening,premade,2026-03-01,18:00,"Our API responds in: Orchestrator: 150ms BOM Generator: 8 seconds Code Generator: 12 seconds Wiring: 5 seconds. Fast enough. Room to improve.",,FALSEE,,ready,Data & Results
20260302_morning,premade,2026-03-02,09:00,"When the AI updates a BOM the drawer updates instantly. No refresh button. No polling. Just Postgres LISTEN/NOTIFY + Supabase real-time. It feels like magic.",,FALSEE,,ready,Feature Deep-Dive
20260302_afternoon,premade,2026-03-02,14:00,"Our AI doesn't just talk. It acts. When it says ""I'll create a BOM"" it actually calls: update_bom({ project_name: ""..."", components: [...] }). Function calling > text parsing.",,FALSEE,,ready,Technical Deep-Dive
20260302_evening,premade,2026-03-02,18:00,"When the AI updates a BOM the drawer updates instantly. No refresh button. No polling. Just Postgres LISTEN/NOTIFY + Supabase real-time. It feels like magic.",,FALSEE,,ready,Feature Deep-Dive
20260303_morning,premade,2026-03-03,09:00,"40% of our users are on mobile. We built for desktop first. Mistake. Spent a weekend making everything responsive. Touch-friendly. Readable. Mobile isn't the future. It's the present.",,FALSEE,,ready,Lesson Learned
20260303_afternoon,premade,2026-03-03,14:00,"Wrote 2,000 words of documentation today. Not code. Documentation. Because 3 months from now I won't remember why I made these decisions. Future you will thank present you.",,FALSEE,,ready,Behind-the-Scenes
